,WHOCountry,WHORegion,WorldBankLevel,WHOPop,GHDSubRegion,UNRegion,UNSubregion,UNIntermediateRegion,UNCountry,origin_country,origin_country_unknown,DST_ethnicity
1,Bolivia,Americas,Lower middle income,11513102,Andean Latin America,Americas,Latin America and the Caribbean,South America,Bolivia (Plurinational State of),Bolivia,0,Non Western
2,Ecuador,Americas,Upper middle income,17373657,Andean Latin America,Americas,Latin America and the Caribbean,South America,Ecuador,Ecuador,0,Non Western
3,Peru,Americas,Upper middle income,32510462,Andean Latin America,Americas,Latin America and the Caribbean,South America,Peru,Peru,0,Non Western
4,Australia,Western Pacific,High income,25203200,Ausralasia,Oceania,Australia and New Zealand,Australia and New Zealand,Australia,Australien,0,Western
5,New Zealand,Western Pacific,High income,4783062,Ausralasia,Oceania,Australia and New Zealand,Australia and New Zealand,New Zealand,New Zealand,0,Western
6,Antigua and Barbuda,Americas,High income,97115,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,Antigua og Barbuda,0,Non Western
7,Aruba,Americas,High income,106310,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Aruba,Aruba,0,Non Western
8,"Bahamas,  The",Americas,High income,389486,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Bahamas,Bahamas,0,Non Western
9,Barbados,Americas,High income,287021,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Barbados,Barbados,0,Non Western
10,Belize,Americas,Upper middle income,390351,Caribbean,Americas,Latin America and the Caribbean,Central America,Belize,Belize,0,Non Western
11,Cayman Islands,Americas,High income,64948,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Cayman Islands,Caymanøerne,0,Non Western
12,Cuba,Americas,Upper middle income,11333484,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Cuba,Cuba,0,Non Western
13,Curaçao,Americas,High income,163423,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Curaçao,Curaçao,0,Non Western
14,Dominica,Americas,Upper middle income,71808,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Dominica,Dominica,0,Non Western
15,Dominican Republic,Americas,Upper middle income,10738957,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Dominican Republic,Dominikanske Republik,0,Non Western
16,Grenada,Americas,Upper middle income,112002,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Grenada,Grenada,0,Non Western
17,Guyana,Americas,Upper middle income,782775,Caribbean,Americas,Latin America and the Caribbean,South America,Guyana,Guyana,0,Non Western
18,Haiti,Americas,Low income,11263079,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Haiti,Haiti,0,Non Western
19,Jamaica,Americas,Upper middle income,2948277,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Jamaica,Jamaica,0,Non Western
20,Puerto Rico,Americas,High income,2933404,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Puerto Rico,Puerto Rico,0,Non Western
21,Saint Kitts and Nevis,Americas,High income,52834,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,Saint Kitts og Nevis,0,Non Western
22,Saint Lucia,Americas,Upper middle income,182795,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Saint Lucia,Saint Lucia,0,Non Western
23,Saint Vincent and the Grenadines,Americas,Upper middle income,110593,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,Saint Vincent og Grenadinerne,0,Non Western
24,Sint Maarten (Dutch part),Americas,High income,42389,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),Sint Maarten (Dutch part),0,Non Western
25,St Martin (French part),Americas,High income,38002,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Saint Martin (French Part),St Martin (French part),0,Non Western
26,Suriname,Americas,Upper middle income,581363,Caribbean,Americas,Latin America and the Caribbean,South America,Suriname,Surinam,0,Non Western
27,Trinidad and Tobago,Americas,High income,1394969,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,Trinidad og Tobago,0,Non Western
28,Turks and Caicos Islands,Americas,High income,38194,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,Turks og Caicosøerne,0,Non Western
29,Virgin Islands,Americas,High income,104579,Caribbean,Americas,Latin America and the Caribbean,Caribbean,United States Virgin Islands,Virginøerne,0,Non Western
30,Armenia,European,Upper middle income,2957728,Central Asia,Asia,Western Asia,Western Asia,Armenia,Armenien,0,Non Western
31,Azerbaijan,European,Upper middle income,10047719,Central Asia,Asia,Western Asia,Western Asia,Azerbaijan,Aserbajdsjan,0,Non Western
32,Georgia,European,Upper middle income,3996762,Central Asia,Asia,Western Asia,Western Asia,Georgia,Georgien,0,Non Western
33,Kazakhstan,European,Upper middle income,18551428,Central Asia,Asia,Central Asia,Central Asia,Kazakhstan,Kasakhstan,0,Non Western
34,Kyrgyzstan,European,Lower middle income,6415851,Central Asia,Asia,Central Asia,Central Asia,Kyrgyzstan,Kirgisistan,0,Non Western
35,Mongolia,Western Pacific,Lower middle income,3225166,Central Asia,Asia,Eastern Asia,Eastern Asia,Mongolia,Mongoliet,0,Non Western
36,Tajikistan,European,Low income,9321023,Central Asia,Asia,Central Asia,Central Asia,Tajikistan,Tadsjikistan,0,Non Western
37,Turkmenistan,European,Upper middle income,5942094,Central Asia,Asia,Central Asia,Central Asia,Turkmenistan,Turkmenistan,0,Non Western
38,Uzbekistan,European,Lower middle income,32981715,Central Asia,Asia,Central Asia,Central Asia,Uzbekistan,Usbekistan,0,Non Western
39,Albania,European,Upper middle income,2880913,Central Europe,Europe,Southern Europe,Southern Europe,Albania,Albanien,0,Non Western
40,Bosnia and Herzegovina,European,Upper middle income,3300998,Central Europe,Europe,Southern Europe,Southern Europe,Bosnia and Herzegovina,Bosnien-Hercegovina,0,Non Western
41,Bulgaria,European,Upper middle income,7000117,Central Europe,Europe,Eastern Europe,Eastern Europe,Bulgaria,Bulgarien,0,Western
42,Croatia,European,High income,4130299,Central Europe,Europe,Southern Europe,Southern Europe,Croatia,Kroatien,0,Western
43,Czech Republic,European,High income,10689213,Central Europe,Europe,Eastern Europe,Eastern Europe,Czechia,Tjekkiet,0,Western
44,Hungary,European,High income,9684680,Central Europe,Europe,Eastern Europe,Eastern Europe,Hungary,Ungarn,0,Western
45,Kosovo,European,Upper middle income,1845300,Central Europe,Europe,Southern Europe,Southern Europe,Kosovo (not UN),Kosovo,0,Non Western
46,Montenegro,European,Upper middle income,627988,Central Europe,Europe,Southern Europe,Southern Europe,Montenegro,Montenegro,0,Non Western
47,North Macedonia,European,Upper middle income,2083458,Central Europe,Europe,Southern Europe,Southern Europe,North Macedonia,Nordmakedonien,0,Non Western
48,Poland,European,High income,37887771,Central Europe,Europe,Eastern Europe,Eastern Europe,Poland,Polen,0,Western
49,Romania,European,High income,19364558,Central Europe,Europe,Eastern Europe,Eastern Europe,Romania,Rumænien,0,Western
50,Serbia,European,Upper middle income,6926928,Central Europe,Europe,Southern Europe,Southern Europe,Serbia,Serbien,0,Non Western
51,Slovakia,European,High income,5457012,Central Europe,Europe,Eastern Europe,Eastern Europe,Slovakia,Slovakiet,0,Western
52,Slovenia,European,High income,2078654,Central Europe,Europe,Southern Europe,Southern Europe,Slovenia,Slovenien,0,Western
53,Colombia,Americas,Upper middle income,50339443,Central Latin America,Americas,Latin America and the Caribbean,South America,Colombia,Colombia,0,Non Western
54,Costa Rica,Americas,Upper middle income,5047561,Central Latin America,Americas,Latin America and the Caribbean,Central America,Costa Rica,Costa Rica,0,Non Western
55,El Salvador,Americas,Lower middle income,6453550,Central Latin America,Americas,Latin America and the Caribbean,Central America,El Salvador,El Salvador,0,Non Western
56,Guatemala,Americas,Upper middle income,17581476,Central Latin America,Americas,Latin America and the Caribbean,Central America,Guatemala,Guatemala,0,Non Western
57,Honduras,Americas,Lower middle income,9746115,Central Latin America,Americas,Latin America and the Caribbean,Central America,Honduras,Honduras,0,Non Western
58,Mexico,Americas,Upper middle income,127575529,Central Latin America,Americas,Latin America and the Caribbean,Central America,Mexico,Mexico,0,Non Western
59,Nicaragua,Americas,Lower middle income,6545503,Central Latin America,Americas,Latin America and the Caribbean,Central America,Nicaragua,Nicaragua,0,Non Western
60,Panama,Americas,High income,4246440,Central Latin America,Americas,Latin America and the Caribbean,Central America,Panama,Panama,0,Non Western
61,Venezuela,Americas,Upper middle income,28515829,Central Latin America,Americas,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of),Venezuela,0,Non Western
62,Angola,African,Lower middle income,31825299,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Angola,Angola,0,Non Western
63,Central African Republic,African,Low income,4745179,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Central African Republic,Centralafrikanske Republik,0,Non Western
64,"Congo, Democratic Republic of ",African,Low income,86790568,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo,"Congo, Demokratiske Republik",0,Non Western
65,"Congo, republic of",African,Lower middle income,5380504,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Congo,"Congo, Republikken",0,Non Western
66,Equatorial Guinea,African,Upper middle income,1355982,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea,Ækvatorialguinea,0,Non Western
67,Gabon,African,Upper middle income,2172578,Central Sub-Saharan Africa,Africa,Sub-Saharan Africa,Middle Africa,Gabon,Gabon,0,Non Western
68,China,Western Pacific,Upper middle income,1433783692,East Asia,Asia,Eastern Asia,Eastern Asia,China,Kina,0,Non Western
69,Hong Kong,Western Pacific,High income,7436157,East Asia,Asia,Eastern Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",Hong Kong,0,Non Western
70,"Korea, Democratic People's Republic of ",South-East Asia,Low income,25666158,East Asia,Asia,Eastern Asia,Eastern Asia,Democratic People's Republic of Korea,Nordkorea,0,Non Western
71,Macao SAR,South-East Asia,High income,640446,East Asia,Asia,Eastern Asia,Eastern Asia,"China, Macao Special Administrative Region",Macao SAR,0,Non Western
72,Taiwan,Western Pacific,High income,23773881,East Asia,Asia,Eastern Asia,Eastern Asia,Taiwan (not UN),Taiwan,0,Non Western
73,Belarus,European,Upper middle income,9452409,Eastern Europe,Europe,Eastern Europe,Eastern Europe,Belarus,Belarus,0,Non Western
74,Estonia,European,High income,1325649,Eastern Europe,Europe,Northern Europe,Northern Europe,Estonia,Estland,0,Western
75,Latvia,European,High income,1906740,Eastern Europe,Europe,Northern Europe,Northern Europe,Latvia,Letland,0,Western
76,Lithuania,European,High income,2759631,Eastern Europe,Europe,Northern Europe,Northern Europe,Lithuania,Litauen,0,Western
77,"Moldova, Republic of",European,Lower middle income,4043258,Eastern Europe,Europe,Eastern Europe,Eastern Europe,Republic of Moldova,Moldova,0,Non Western
78,Russian Federation,European,Upper middle income,145872260,Eastern Europe,Europe,Eastern Europe,Eastern Europe,Russian Federation,Rusland,0,Non Western
79,Ukraine,European,Lower middle income,43993643,Eastern Europe,Europe,Eastern Europe,Eastern Europe,Ukraine,Ukraine,0,Non Western
80,Burundi,African,Low income,11530577,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Burundi,Burundi,0,Non Western
81,Comoros,African,Lower middle income,850891,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Comoros,Comorerne,0,Non Western
82,Djibouti,Eastern Mediterranean,Lower middle income,973557,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Djibouti,Djibouti,0,Non Western
83,Eritrea,African,Low income,3497117,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Eritrea,Eritrea,0,Non Western
84,Ethiopia,African,Low income,112078727,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia,Etiopien,0,Non Western
85,Kenya,African,Lower middle income,52573967,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Kenya,Kenya,0,Non Western
86,Madagascar,African,Low income,26969306,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Madagascar,Madagaskar,0,Non Western
87,Malawi,African,Low income,18628749,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Malawi,Malawi,0,Non Western
88,Mozambique,African,Low income,30366043,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Mozambique,Mozambique,0,Non Western
89,Rwanda,African,Low income,12626938,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Rwanda,Rwanda,0,Non Western
90,Somalia,Eastern Mediterranean,Low income,15442906,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Somalia,Somalia,0,Non Western
91,South Sudan,African,Low income,11062114,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,South Sudan,Sydsudan,0,Non Western
92,Sudan,Eastern Mediterranean,Low income,42813237,Eastern Sub-Saharan Africa,Africa,Northern Africa,Northern Africa,Sudan,Sudan,0,Non Western
93,"Tanzania, United Republic of ",African,Lower middle income,58005461,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania,Tanzania,0,Non Western
94,Uganda,African,Low income,44269587,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Uganda,Uganda,0,Non Western
95,Zambia,African,Lower middle income,17861034,Eastern Sub-Saharan Africa,Africa,Sub-Saharan Africa,Eastern Africa,Zambia,Zambia,0,Non Western
96,Bermuda,Americas,High income,62508,High-income North America,Americas,Northern America,Northern America,Bermuda,Bermuda,0,Non Western
97,British Virgin Islands,Americas,High income,30033,High-income Asia Pacific,Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands,British Virginøerne,0,Non Western
98,Japan,Western Pacific,High income,126860299,High-income Asia Pacific,Asia,Eastern Asia,Eastern Asia,Japan,Japan,0,Non Western
